Unnamed: 0,header,NumberofInstances,Area,NumberofAttributes,DateDonated,MissingValues,NumberofWebHits,multivariate_data,time_series_data,data_generator_data,domain_theory_data,image_data,relational_data,sequential_data,spatial_data,univariate_data,spatio_temporal_data,text_data,transactional_data,num_data_characteristics,categorical_attributes,real_attributes,integer_attributes,no_listed_attributes,num_attribute_characteristics,causal_discover_task,classification_task,regression_task,function_learning_task,reccomendation_task,description_task,relational_learning_task,no_given_task,clustering_task,num_associated_tasks,source_institution_places,year_donated,year_month_donated,DatasetAge,DatapointCount
0,Smartphone-Based Recognition of Human Activities and Postural Transitions Data Set,10929,Life,561,7/29/2015,No,173081,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Universite degli Studi di Genova', 'Genoa', 'Italy', 'ITA'], ['Universitat Politecnica de Catalunya', 'Barcelona', 'Spain', 'ESP'], ['University of Genoa', 'Genoa', 'Italy', 'ITA']]",2015,7-2015,5,6131169
1,Divorce Predictors data set Data Set,170,Life,54,7/24/2019,No,77119,1,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Haci Bektas Veli Nevsehir University', 'Nevsehir', 'Turkey', 'TUR']]",2019,7-2019,1,9180
2,Online Shoppers Purchasing Intention Dataset Data Set,12330,Business,18,8/31/2018,No,86113,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,2,0,1,0,0,0,0,0,0,1,2,"[['Bahcesehir University', 'Istanbul', 'Turkey', 'TUR']]",2018,8-2018,2,221940
3,University Data Set,285,Other,17,7/1/1988,Yes,220698,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,1,0,0,0,0,0,0,0,2,,1988,7-1988,32,4845
4,QtyT40I10D100K Data Set,3960456,Other,4,10/21/2012,No,41246,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,"[['Kharazmi University', 'Tehran', 'Iran', 'IRN']]",2012,10-2012,8,15841824
5,Crop mapping using fused optical-radar data set Data Set,325834,Other,175,6/16/2020,No,1506,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['University of Tehran', 'Tehran', 'Iran', 'IRN']]",2020,6-2020,0,57020950
6,PAMAP2 Physical Activity Monitoring Data Set,3850505,Computer,52,8/6/2012,Yes,93948,1,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,"[['Deutsches Forschungszentrum f¸r K¸nstliche Intelligenz GmbH', 'Kaiserslautern', 'Germany', 'DEU']]",2012,8-2012,8,200226260
7,Rice Leaf Diseases Data Set,120,Computer,0,4/14/2019,No,40680,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,"[['Dharmsinh Desai University', 'Gujarat', 'India', 'IND']]",2019,4-2019,1,0
8,wiki4HE Data Set,913,Social,53,5/4/2015,Yes,47677,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,"[['Universitat Oberta de Catalunya', 'Barcelona', 'Spain', 'ESP']]",2015,5-2015,5,48389
9,Twin gas sensor arrays Data Set,640,Computer,480000,5/19/2016,No,47611,1,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,1,"[['Institute for Bioengineering of Catalonia', 'Barcelona', 'Spain', 'ESP'], ['Institute of Bioengineering of Catalonia (IBEC)', 'Barcelona', 'Spain', 'ESP']]",2016,5-2016,4,307200000
